latitude,longitude,altitude,date
48.870898,2.345212,514.56,2009-04-27 08:56:49
48.870998,2.345326,-74.17,2009-04-27 08:56:50
48.870911,2.345341,232.52,2009-04-27 08:56:55
48.870824,2.34522,82.93,2009-04-27 08:56:57
48.870797,2.345156,-58.9,2009-04-27 08:57:02
48.871012,2.345159,15.04,2009-04-27 08:57:05
48.870944,2.345076,92.00,2009-04-27 08:57:10
48.870862,2.344988,88.7,2009-04-27 08:57:13
48.87081,2.344973,496.82,2009-04-27 08:57:18
48.870806,2.344983,-131.61,2009-04-27 08:57:23
48.87079,2.34496,-152.6,2009-04-27 08:57:28
48.870756,2.344892,-80.22,2009-04-27 08:57:33
48.870717,2.344859,-54.87,2009-04-27 08:57:38
48.870723,2.344975,371.88,2009-04-27 08:57:43
48.87071,2.344955,-157.8,2009-04-27 08:57:48
48.870688,2.344908,-240.29,2009-04-27 08:57:53
48.870655,2.34487,525.2,2009-04-27 08:57:58
48.870676,2.344922,-419.08,2009-04-27 08:58:03
48.870676,2.344922,-169.91,2009-04-27 08:58:06
48.870674,2.344919,64.59,2009-04-27 08:58:08
